Customer_ID,Transaction_Date,Transaction_Type,Amount,Channel
1076,2024-01-01 00:00:00,Credit,1396.3321431808547,Online
1011,2024-01-01 01:00:00,Debit,4085.244055499083,POS
1038,2024-01-01 02:00:00,Debit,1429.9658857968586,POS
1193,2024-01-01 03:00:00,Debit,4092.8512770537554,Mobile
1012,2024-01-01 04:00:00,Debit,2662.68132837611,Mobile
1045,2024-01-01 05:00:00,Credit,4400.514760032188,Online
1154,2024-01-01 06:00:00,Debit,2878.1499757794318,Online
1112,2024-01-01 07:00:00,Debit,158.04443309305168,POS
1016,2024-01-01 08:00:00,Credit,3380.346835659975,Mobile
1103,2024-01-01 09:00:00,Debit,233.8193044376076,Online
1097,2024-01-01 10:00:00,Debit,2258.4791247258386,Mobile
1187,2024-01-01 11:00:00,Credit,4647.839205420839,Mobile
1191,2024-01-01 12:00:00,Credit,834.3676572958723,Online
1087,2024-01-01 13:00:00,Credit,1955.463041178305,POS
1108,2024-01-01 14:00:00,Credit,3652.002941153907,Online
1162,2024-01-01 15:00:00,Credit,4412.47019491329,Online
1069,2024-01-01 16:00:00,Credit,3358.0055936651142,Mobile
1157,2024-01-01 17:00:00,Credit,1298.2845384139343,Online
1198,2024-01-01 18:00:00,Debit,3376.293186051919,POS
1073,2024-01-01 19:00:00,Credit,1490.6709291094091,Online
1062,2024-01-01 20:00:00,Credit,3594.961856795489,POS
1155,2024-01-01 21:00:00,Credit,4770.625306649353,POS
1059,2024-01-01 22:00:00,Debit,3609.7533210203783,Mobile
1078,2024-01-01 23:00:00,Debit,4315.773709532938,ATM
1036,2024-01-02 00:00:00,Credit,20.49817744765823,ATM
1021,2024-01-02 01:00:00,Credit,3590.684902410656,Mobile
1195,2024-01-02 02:00:00,Credit,4149.641908757599,Online
1147,2024-01-02 03:00:00,Debit,212.3881003479603,Mobile
1095,2024-01-02 04:00:00,Debit,4359.27265916827,POS
1067,2024-01-02 05:00:00,Credit,1290.904199267129,ATM
1191,2024-01-02 06:00:00,Debit,3329.8075888704957,Mobile
1016,2024-01-02 07:00:00,Credit,4003.770846326799,Online
1011,2024-01-02 08:00:00,Debit,3316.695920166184,Mobile
1149,2024-01-02 09:00:00,Debit,470.50111244555364,ATM
1144,2024-01-02 10:00:00,Credit,2985.644379113238,Mobile
1137,2024-01-02 11:00:00,Credit,2752.4224470434965,Mobile
1117,2024-01-02 12:00:00,Credit,4502.603127690615,ATM
1192,2024-01-02 13:00:00,Credit,2027.156250924604,POS
1021,2024-01-02 14:00:00,Debit,1612.1946744643801,POS
1119,2024-01-02 15:00:00,Debit,3751.7553145379666,ATM
1049,2024-01-02 16:00:00,Debit,2069.249877156149,Mobile
1013,2024-01-02 17:00:00,Credit,3234.0199132752646,ATM
1191,2024-01-02 18:00:00,Debit,3235.7859497217887,POS
1174,2024-01-02 19:00:00,Credit,4441.314931156988,Online
1028,2024-01-02 20:00:00,Debit,2997.4750875722957,Mobile
1163,2024-01-02 21:00:00,Credit,2515.7465137103145,POS
1179,2024-01-02 22:00:00,Credit,702.9679187186199,Mobile
1124,2024-01-02 23:00:00,Debit,587.5306573267397,ATM
1006,2024-01-03 00:00:00,Credit,780.0646107625662,Online
1028,2024-01-03 01:00:00,Credit,867.5239218222016,ATM
1138,2024-01-03 02:00:00,Debit,3193.0066923915333,Online
1032,2024-01-03 03:00:00,Credit,3707.496438870147,Mobile
1133,2024-01-03 04:00:00,Credit,2654.657699402829,Mobile
1110,2024-01-03 05:00:00,Credit,4146.798485402001,ATM
1078,2024-01-03 06:00:00,Debit,4956.40350140083,Online
1159,2024-01-03 07:00:00,Debit,4101.863019305587,Online
1178,2024-01-03 08:00:00,Credit,3477.4630446430365,Mobile
